"","Loop","fWAR","WAR_1","WAR_2","WAR_3"
"93",93,0.326696854085776,0.428061712535472,0.370647997012611,0.370339608854391
"94",94,0.233134046961275,0.264337269362286,0.243695827308324,0.243675301310756
"95",95,0.264616608564072,0.308352178761324,0.290409102693167,0.290322357627262
"96",96,0.37905427929586,0.163526262277028,0.418513680201283,0.418427653600219
"97",97,0.223163780732316,0.570966030607203,0.286850757935732,0.285705013734699
"98",98,0.213101812904519,0.356130350102314,0.366196820514643,0.365452280578708
"99",99,0.335515027754549,0.304973040576756,0.343522706425517,0.343347507388146
"100",100,0.214478798712536,0.198068988237183,0.239078985687712,0.239067751250212
"101",101,0.162754077181127,0.169955956079498,0.212286338836931,0.212253169828363
"102",102,0.267427847729791,0.436877123328662,0.283986042559506,0.283369291309279
"103",103,0.129275177710352,0.0795509728210029,0.145062530616266,0.145065865394817
"104",104,0.415746017764855,0.315120126106868,0.458278304600511,0.457348864114035
"105",105,0.161278724783557,0.222301508896543,0.185680234627022,0.185678149100833
"106",106,0.325317682134111,0.294067720656091,0.329369899869718,0.329264710056941
"107",107,0.186546721937919,0.41943078598326,0.143228103338802,0.143128558858611
"108",108,0.059890021473998,1.05679947479684,0.0661493798006357,0.0625187782099666
"109",109,0.299389518811294,0.323055449076372,0.273718112745904,0.273681192964749
"110",110,0.164526216071111,0.826216348711477,0.0916463627888849,0.0907537543449868
"111",111,0.098445945881712,0.754229124866097,0.0966735367783266,0.095665875654146
"112",112,0.237292581215082,0.266503139201057,0.237979065099963,0.237961315775188
"113",113,0.284371399886058,0.22785625890952,0.354464610582121,0.354221455825029
"114",114,0.0725971560217268,0.106515856737029,0.0805487402419671,0.0805494458357746
"115",115,0.221352056927792,1.09910894451258,0.0060633354991151,0.0101486620014429
"116",116,0.456401188520637,0.271854933727314,0.577053330168181,0.576140622291511
"117",117,0.200197603937175,0.568439419148129,0.177017563352892,0.176467177426276
"118",118,0.33175590556281,0.324284023884304,0.347260306670522,0.347204053841887
"119",119,0.271466981467398,0.344166487349215,0.287926635994086,0.287850893957441
"120",120,0.286820449692728,0.1671544792625,0.313462294369493,0.313351076618603
"121",121,0.275549798097246,0.257891720999389,0.276584913052162,0.276578747499002
"122",122,0.329929637130715,0.430328917642896,0.373189611331361,0.372324428203912
"123",123,0.34972609558924,0.271795729191733,0.47151467731418,0.470954977416943
"124",124,0.239128807269201,0.193844680445237,0.268211905483223,0.268222334842344
"125",125,0.253085934653458,0.339956481215549,0.284566046698008,0.284381679509431
"126",126,0.214818557336503,0.0746828459359702,0.259536902096507,0.259547395903189
"127",127,0.16636880407056,0.458832799100516,0.193495738123694,0.193271603119325
"128",128,0.115115719949055,1.1975218218404,0.0416630185819508,0.0428106262445124
"129",129,0.418075037954015,0.187334762512972,0.453579311135725,0.453229561851561
"130",130,0.137406147026077,1.00687733911626,0.00749025261055754,0.00722593906597226
"131",131,0.12558931958323,1.18590149917768,0.181512622257494,0.175155186850332
"132",132,0.273736229292004,0.279480649914312,0.292016318357162,0.291804755611786
"133",133,0.295672218518782,0.160665192611531,0.315773372587919,0.315766691212019
"134",134,0.197674497937314,0.205775368038882,0.188477644180893,0.188479755351838
"135",135,0.261348787758792,0.223416963286525,0.321939782649518,0.3218642233225
"136",136,0.248549257037582,0.334422787501628,0.256756504644774,0.256669304025973
"137",137,0.329579091945029,0.27510086172604,0.367121152844787,0.366997037550414
"138",138,0.263444126523028,0.419094248650335,0.291831293524922,0.291587426302271
"139",139,0.261895077891852,0.126096615796706,0.332408560909912,0.332259724627443
"140",140,0.319118096539511,0.366265275356954,0.366495270971954,0.365998826621587
"141",141,0.424127740930982,0.194868329564849,0.542407976636846,0.542224309708268
"142",142,0.305177269522907,0.25429011096907,0.344857472248214,0.344719171919953
"143",143,0.287944148013496,0.167796525893988,0.368735321186449,0.36865082291648
"144",144,0.0609624780972996,0.895284393421623,0.0672635553357554,0.0646502409220509
"145",145,0.252077943740059,0.417113392329619,0.283529336565737,0.283337827716014
"146",146,0.360304512986042,0.267337707494377,0.467253747390688,0.466663253618105
"147",147,0.287852076598572,0.525620390929703,0.311461977279525,0.311367858940231
"148",148,0.220556839191854,0.292490397000781,0.211300364676109,0.21127195100736
"149",149,0.266059772836326,0.40331911669297,0.334146054241826,0.333397555049632
"150",150,0.266474924684349,0.283396499668162,0.278420826644442,0.278298612106186
"151",151,0.272173073557022,0.329893981683117,0.27734812773142,0.277334618493422
"152",152,0.243322851279737,0.126123610560446,0.289232147926099,0.289227223569979
"153",153,0.440047941446601,0.284040120486797,0.519765657475642,0.518447173667284
"154",154,0.2390939800106,0.332220906501735,0.286635591752396,0.286410663301235
"155",155,0.251578071269445,0.290087519184044,0.276510555170212,0.276456567118509
"156",156,0.312652318272299,0.577157202587144,0.280495534606287,0.279849782590306
"157",157,0.271726174683077,0.609897115800846,0.30991886535858,0.309733774991828
"158",158,0.271783731419319,0.522455589298611,0.299533599902004,0.299237382846728
"159",159,0.236589738090566,0.333499370619379,0.317931135030045,0.317715127269693
"160",160,0.308318957451368,0.290555058244388,0.31387957797437,0.313652613000281
"161",161,0.297884846524185,0.297920837458051,0.297466266208749,0.297229538339303
"162",162,0.279815493487757,0.377196814942472,0.371011701277397,0.370301587932691
"163",163,0.273773187344428,0.0586699280610349,0.995363328453586,0.987085342374985
"164",164,0.287996456561146,0.322463505488463,0.284825533856438,0.284656078650066
"165",165,0.318609276385663,0.109510228487646,0.363708865631377,0.363725069158747
"166",166,0.311175479384926,0.338738466213528,0.316065519195506,0.315902961873228
"167",167,0.410790217739818,0.2334941442066,0.505976005197606,0.505726969082904
"168",168,0.251274200752305,0.744294344708372,0.161655278686516,0.161146827218174
"169",169,0.305430894339612,0.28958695998916,0.347871929507657,0.347704967956623
"170",170,0.032684825760314,0.302305576858221,0.780091356190065,0.772204049595948
"171",171,0.132772693170093,0.701732662890164,0.192885311702505,0.191928652129924
"172",172,0.248616879673785,0.226378807248004,0.253884322117029,0.253889305796968
"173",173,0.373574486624672,0.269369996418491,0.436269107221489,0.436056257547177
"174",174,0.257638912182949,0.237241057851857,0.267200985148215,0.267141187427047
"175",175,0.243135339201769,0.253560655738369,0.259951622919816,0.259850237523078
"176",176,0.204776023030242,0.816072752505453,0.149338900423852,0.148873965885329
"177",177,0.237144890608747,0.252570060887148,0.26965465546923,0.269662207349146
"178",178,0.290345137277112,0.231098364678945,0.324693998369477,0.324601017967684
"179",179,0.108672304354122,0.181652482081831,0.138468631072228,0.138437847642269
"180",180,0.367493332619717,0.609501180332254,0.268550798991805,0.268024876646001
"181",181,0.1727291276636,0.156446757773113,0.176364913191118,0.17636797588875
"182",182,0.0626373876898898,0.521685242275258,0.2826314925828,0.280416389499906
"183",183,0.379444263050393,0.152185650332735,0.502570724665653,0.502166760651633
"184",184,0.178869366498734,0.444942760621147,0.216206615280027,0.215546901078016
"185",185,0.283694166179973,0.259669105800153,0.305816280448097,0.305655567678142
"186",186,0.21302993358287,0.228635059919315,0.229376039598274,0.229364049163556
"187",187,0.261958801475186,0.473895138865594,0.313853073221791,0.313180648258552
"188",188,0.320815121094554,0.305955936454382,0.374347705834489,0.374141848861285
"189",189,0.472791709245443,0.0267248776913186,0.609085767822523,0.607679733643667
"190",190,0.352600106913538,0.206194090511593,0.385238395740531,0.384755342760771
"191",191,0.291115669121891,0.351005934809705,0.316694118600829,0.316611150834283
"192",192,0.224673943590931,0.743649208725144,0.211894677915636,0.211245447981622
"193",193,0.280240063573155,0.238254739914904,0.344400852401456,0.344307674635178
"194",194,0.24677726943058,0.0716483024674752,0.279716066563749,0.279735369728512
"195",195,0.298659430578288,0.142324860531651,0.398677445960415,0.398311082618051
"196",196,0.279592542764519,0.336733424347552,0.339493435387873,0.338867644004511
"197",197,0.245193102209676,0.511200600180397,0.293293978457543,0.29265523150204
"198",198,0.424380239496623,0.240316049686699,0.658901328720995,0.65715211651055
"199",199,0.365243126518009,0.369219315241002,0.387476086243462,0.386822509436113
"200",200,0.264210787656775,0.318881220509102,0.287602171123161,0.287387738979604
"201",201,0.360333666340242,0.494340898848323,0.442449254619976,0.433124557586584
"202",202,0.226321252260429,0.212690730837692,0.236095822362963,0.236099353138207
"203",203,0.333713400487253,0.355565602416287,0.339355242742471,0.339003102009428
"204",204,0.301980138033574,0.344538101992967,0.326304451842756,0.326113471002798
"205",205,0.263095697209404,0.301905924570997,0.31279829760452,0.312679105723418
"206",206,0.253371264891271,0.284705678834089,0.253138518602577,0.253123268347021
"207",207,0.281089431546493,0.869201471650816,0.196547629760883,0.197891893015053
"208",208,0.358639949650237,0.263754170717507,0.390601213674877,0.390332356409267
"209",209,0.161322763960161,0.335814777509793,0.25073405351645,0.25032952798037
"210",210,0.311994638129155,0.262672585183194,0.370001831924902,0.369952130151154
"211",211,0.347866123224426,0.261005037820098,0.388116218779752,0.387990200826128
"212",212,0.308834494027743,0.232108843135271,0.338215587894213,0.338034939251177
"213",213,0.325125945094308,0.264897822765241,0.347072640027771,0.347013545452029
"214",214,0.374241848960503,0.319893620317152,0.422672465882027,0.422588679431148
"215",215,0.230568785131021,0.405466479495716,0.230694273944401,0.230484510827217
"216",216,0.142571522194751,0.249300476071649,0.131524733368102,0.131525818948436
"217",217,0.127215865562664,0.108701089546719,0.140190438579259,0.140192886871305
"218",218,0.330224793942466,0.294947436863795,0.342601123591366,0.342363176743374
"219",219,0.337873105256881,0.27074352704248,0.360657736654095,0.3604752144477
"220",220,0.31342808838484,0.507637654347709,0.257975416845796,0.257819612676474
"221",221,0.00205539251323425,0.655506106959468,0.221252162588966,0.218953779089745
"222",222,0.0869362937192282,0.883537495987654,0.14163244825328,0.140460257496778
"223",223,0.277207253400797,0.478091356265258,0.323812463745749,0.32346848259967
"224",224,0.262064007426776,0.57519302713176,0.321140871234461,0.319730435053283
"225",225,0.103115170088289,1.2536366271717,0.0458411513023312,0.0454416966858401
"226",226,0.369565046289365,0.206134262602904,0.470469108703596,0.469865206235172
"227",227,0.320262449485056,0.304866559564836,0.335594433432981,0.335318516325007
"228",228,0.227057591448837,0.199870645993191,0.256402552434414,0.256376179375796
"229",229,0.267875129130431,0.330272915853886,0.360302872493067,0.359878081225658
"230",230,0.284735726859813,0.234017909339161,0.328332797358099,0.32820944578104
"231",231,0.442460439445256,0.974173233740966,0.25014891585424,0.240124442596859
"232",232,0.351033066087875,0.273253652687059,0.44660622182911,0.446424660031772
"233",233,0.251019179074766,0.185797447360072,0.288240422546693,0.28820665611941
"234",234,0.211815695059908,0.237887558068017,0.221906305480747,0.221911065026075
"235",235,0.2932399743664,0.301996601204517,0.34174980136109,0.341696651161893
"236",236,0.4467881024763,0.314465501349811,0.488099453277614,0.487467993796513
"237",237,0.0506878387312864,0.0888668266269803,0.0524894697830226,0.0524894857316032
"238",238,0.202933778270934,0.333716985231126,0.223022474864241,0.222914400233496
"239",239,0.222060752480909,0.232168790332533,0.234290966673574,0.23427986557816
"240",240,0.38711920790913,0.124939929049514,0.461972247121812,0.461721203928816
"241",241,0.318921156591805,0.431705665255359,0.38204544771896,0.381489200015498
"242",242,0.216193733965779,0.80271396867009,0.201649053666499,0.200685865030309
"243",243,0.134022192161237,0.154014169809903,0.123964811879452,0.123963136053714
"244",244,0.316519907290899,0.390169148063129,0.354958911193624,0.354759366702396
"245",245,0.260024230999515,0.699987717262626,0.205299252326325,0.204454601311657
"246",246,0.286549473169279,0.999730030314884,0.02939843159251,0.0348383743989929
